"panel","ex_super","condition","filter_id","filter","raw_n","spec","fs_conv","se_conv","pv_conv","fs_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"h040_020_fe",0.616100426575719,0.0301763891988267,1.18974667214272e-92,0.473290634735542,0.0442102956974281,9.59744156476332e-27,0.4,0.2,4696,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"msetwo_no_fe",0.4427935503972,0.0587879375157438,4.99506973215495e-14,0.416245129481987,0.0645578330523252,1.13611452256829e-10,0.0671172176384633,0.154368585290951,3166,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"msetwo_fe",0.623153771898848,0.058680683116667,2.42106723156135e-26,0.597262895675862,0.0655233171297736,7.84729609686807e-20,0.086006486378162,0.149677396457525,2120,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"twomse_fe",0.676960290644924,0.043302362307237,4.31616633005786e-55,0.585911748008183,0.0629374044378164,1.28512756835026e-20,0.172012972756324,0.29935479291505,6399,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"h020_010_fe",0.61928281329268,0.0461072798148183,3.96146749454561e-41,0.589502038074092,0.0638457408045191,2.6260570275919e-20,0.2,0.1,1362,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"h030_015_fe",0.679618749592979,0.0372480435563088,2.23617770360651e-74,0.587790729134679,0.0532862147058217,2.71374386658132e-28,0.3,0.15,2253,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"h040_020_fe",0.701775714104662,0.0339873531480722,1.01445737833208e-94,0.605161151899239,0.0502801382926896,2.30419584536867e-33,0.4,0.2,3197,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"msetwo_no_fe",0.620127687877963,0.0538887815411931,1.20867540069747e-30,0.589390358437172,0.0618449548701698,1.57088871802901e-21,0.0938477283767406,0.154911556418864,2249,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"msetwo_fe",0.588124752329311,0.100367885215381,4.63730390844222e-09,0.561860029112172,0.11012508278013,3.36052803809395e-07,0.0628272174617661,0.146947521852033,1150,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"twomse_fe",0.584439517589413,0.0690248240816754,2.51595934852974e-17,0.574736451926587,0.114879599251393,5.64607085337197e-07,0.125654434923532,0.293895043704065,3860,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"h020_010_fe",0.577278088692331,0.0616392001099138,7.57357225003602e-21,0.486268360795112,0.0910503787777526,9.26130378171745e-08,0.2,0.1,812,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"h030_015_fe",0.681142028753593,0.0492645594237787,1.77114858219692e-43,0.51247929680172,0.0739197161659768,4.12248530414506e-12,0.3,0.15,1277,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"h040_020_fe",0.712502052379645,0.0450305713031335,2.17227078393107e-56,0.541520116324494,0.0700206970146416,1.04452713301079e-14,0.4,0.2,1827,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"msetwo_no_fe",0.549298080853418,0.0835067403863295,4.77173768353260e-11,0.514517829794201,0.0981172552271427,1.57210870466295e-07,0.0887460850086941,0.12342884754078,967,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"msetwo_fe",0.46673814285496,0.0913188908583893,3.20322550152664e-07,0.438997595393293,0.0998818950473122,1.10687694588383e-05,0.0831137438276864,0.12757542714857,1311,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"twomse_fe",0.556696116517546,0.0592455144656289,5.64477140279276e-21,0.444957744115953,0.093240238979507,1.82256685950258e-06,0.166227487655373,0.25515085429714,4184,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h020_010_fe",0.532931209013178,0.0591298592977486,2.00687521477236e-19,0.444220639714234,0.0892104477890271,6.37590363212163e-07,0.2,0.1,1019,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h030_015_fe",0.630259283083523,0.0450480008575036,1.77310234112101e-44,0.488973301135144,0.0700649715270013,2.97594688491301e-12,0.3,0.15,1673,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h040_020_fe",0.659563566881719,0.0411203574084835,6.73377842024218e-58,0.51035244965463,0.0657254074662691,8.16975705700956e-15,0.4,0.2,2355,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"msetwo_no_fe",0.50056905166071,0.0762940527440635,5.34304025110941e-11,0.47035071747907,0.088140223703161,9.48147017132983e-08,0.0934871866603357,0.105698527510643,1038,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",4437,"msetwo_fe",0.402473454418316,0.0956848478772975,2.59654251305556e-05,0.36902971051919,0.104697521489221,0.000423926617552845,0.0685854937769612,0.122252851020453,1130,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",4437,"twomse_fe",0.495032885071874,0.0628522584527456,3.37662863905505e-15,0.38170204966169,0.105169363998182,0.000284076986799998,0.137170987553922,0.244505702040907,2541,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",4437,"h020_010_fe",0.510424498075027,0.0586899496399449,3.40875441921272e-18,0.391680165129833,0.0869616476955525,6.6668503112057e-06,0.2,0.1,991,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",4437,"h030_015_fe",0.623538255910371,0.0451632454529192,2.33453974569962e-43,0.45695074537453,0.0695169539300939,4.92361784526124e-11,0.3,0.15,1628,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",4437,"h040_020_fe",0.657538894423222,0.0411919758990368,2.32115880438512e-57,0.483588808279116,0.065262509388311,1.26392643387543e-13,0.4,0.2,2294,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",4437,"msetwo_no_fe",0.439448251213836,0.0909104071576547,1.33910256044617e-06,0.412835555252433,0.100421796092783,3.93922837751652e-05,0.0790289974575518,0.10274498194905,934,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"msetwo_fe",0.617828999794512,0.0713344602782235,4.67572264613029e-18,0.600559339956941,0.0801430575558713,6.70140445789594e-14,0.130610901802264,0.12041357887753,856,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"twomse_fe",0.689996175677644,0.051835803322821,1.99284785993339e-40,0.603794691771722,0.0743813673260845,4.75677077789626e-16,0.261221803604528,0.240827157755061,1809,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"h020_010_fe",0.627767193994486,0.0657255922664042,1.28034783949632e-21,0.618946959680405,0.090920991795465,9.92917949911142e-12,0.2,0.1,704,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"h030_015_fe",0.68777879356213,0.0513728059153053,7.10749800079188e-41,0.599486493418437,0.0757510397057408,2.4943968401814e-15,0.3,0.15,1169,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"h040_020_fe",0.71332094631222,0.0466480382703434,8.70494006809065e-53,0.612761491927048,0.0712414557064314,7.88918626090335e-18,0.4,0.2,1567,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"msetwo_no_fe",0.619947002965945,0.0688768754985231,2.24078173204035e-19,0.602076257195415,0.0782283924322562,1.39963622920136e-14,0.146669258593754,0.129263490819974,964,""
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",2133,"msetwo_fe",0.697644188932852,0.101705793122721,6.91338449658126e-12,0.675257715312558,0.115565603349161,5.12479882547505e-09,0.0834788981407525,0.145137721745174,606,""
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",2133,"twomse_fe",0.702759517390426,0.0761613784768854,2.77688109689659e-20,0.656842040675427,0.103354331495543,2.08095442280888e-10,0.166957796281505,0.290275443490348,1931,""
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",2133,"h020_010_fe",0.630777883162388,0.0833228787648966,3.7240823059978e-14,0.622439556396806,0.107775932599842,7.6810960973804e-09,0.2,0.1,413,""
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",2133,"h030_015_fe",0.714861543409573,0.0681124303447535,9.07725787251817e-26,0.591838809334436,0.0964703306770985,8.51962354890856e-10,0.3,0.15,654,""
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",2133,"h040_020_fe",0.748120999641562,0.0615828433554423,5.86389635602499e-34,0.615809055355076,0.091830971099692,2.0017255991688e-11,0.4,0.2,930,""
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",2133,"msetwo_no_fe",0.644525876726591,0.0887195068527666,3.73702665867521e-13,0.621505003471678,0.107026596385584,6.35966082400474e-09,0.10254420753188,0.149631809658043,623,""
"panel_a","t","Q2Q3","baseline","baseline",5055,"msetwo_fe",0.36672704548005,0.0805517191345638,5.29641669736367e-06,0.326886523000717,0.0888821429858514,0.000235298112239161,0.0696481010279401,0.152206675160007,1751,""
"panel_a","t","Q2Q3","baseline","baseline",5055,"twomse_fe",0.500195701306049,0.0570325320486692,1.78099732019288e-18,0.317078309898104,0.0891467315630774,0.000375380264825018,0.13929620205588,0.304413350320015,4665,""
"panel_a","t","Q2Q3","baseline","baseline",5055,"h020_010_fe",0.463004428159398,0.0560928255770069,1.52854007107526e-16,0.349519878366285,0.0791442101786908,1.0043226923689e-05,0.2,0.1,1028,""
"panel_a","t","Q2Q3","baseline","baseline",5055,"h030_015_fe",0.549507676292699,0.045951862983957,5.87291115602435e-33,0.402858465363722,0.0655471284976056,7.94168873964189e-10,0.3,0.15,1803,""
"panel_a","t","Q2Q3","baseline","baseline",5055,"h040_020_fe",0.584678063179069,0.0422730644907328,1.65738546851856e-43,0.421963453447829,0.061791016133176,8.55799353638911e-12,0.4,0.2,2568,""
"panel_a","t","Q2Q3","baseline","baseline",5055,"msetwo_no_fe",0.353276997535457,0.0776928589290702,5.43908285176318e-06,0.310007123242045,0.086186142467392,0.00032197209356218,0.0743376605374283,0.158464133252046,1860,""
"panel_a","t","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",4947,"msetwo_fe",0.335707497952836,0.0861446723938056,9.73836416226634e-05,0.293726914395824,0.0949314729318544,0.00197414832214596,0.0662373647475732,0.147445471256645,1629,""
"panel_a","t","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",4947,"twomse_fe",0.471918080109443,0.0595848058635828,2.37304929186861e-15,0.286500065195048,0.0961576897189128,0.00288736590236411,0.132474729495146,0.29489094251329,4564,""
"panel_a","t","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",4947,"h020_010_fe",0.441867526148864,0.0578283051125363,2.15499179030588e-14,0.317992783102682,0.0823922521018959,0.0001136198997454,0.2,0.1,1001,""
"panel_a","t","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",4947,"h030_015_fe",0.533928637779914,0.0472246958091073,1.22366047133307e-29,0.377556418542354,0.06780539027023,2.57331065277291e-08,0.3,0.15,1756,""
"panel_a","t","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",4947,"h040_020_fe",0.571382253014118,0.043321449189929,1.01037397991139e-39,0.398440857944111,0.0637349623385254,4.06457995117311e-10,0.4,0.2,2504,""
"panel_a","t","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",4947,"msetwo_no_fe",0.321634040233191,0.0816595146562756,8.19171401585089e-05,0.275841988294691,0.0907463876100217,0.00236812229583517,0.074280136345621,0.151183033292306,1696,""
"panel_a","t","Q2Q3","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3826,"msetwo_fe",0.48828212910529,0.100842807347895,1.285307059905e-06,0.456704600633049,0.112145044711835,4.65220560576492e-05,0.0852362291400272,0.109317053120433,802,""
"panel_a","t","Q2Q3","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3826,"twomse_fe",0.578974479608361,0.0701105569934648,1.48107012034899e-16,0.482068861621505,0.104392093846158,3.87703591848061e-06,0.170472458280054,0.218634106240866,1860,""
"panel_a","t","Q2Q3","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3826,"h020_010_fe",0.548110448925813,0.0719457196908166,2.56862076290421e-14,0.472302425017795,0.104256012485248,5.89229606795348e-06,0.2,0.1,728,""
"panel_a","t","Q2Q3","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3826,"h030_015_fe",0.633157554208616,0.0577485694618965,5.69019801497467e-28,0.500922923610732,0.0852430600231253,4.19266504787472e-09,0.3,0.15,1245,""
