"panel","ex_super","condition","filter_id","filter","raw_n","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_b","f","FULL","baseline","baseline",1181,"msetwo_no_fe",-0.0287878935142386,0.0511652071023269,0.573676036536695,-0.0386266318058531,0.0593690697052914,0.515292603197524,0.19308193307871,0.0754742269415783,460,""
"panel_b","f","FULL","drop_row_previous_scrape","drop row source=previous scrape",1137,"msetwo_fe",0.0342272249337719,0.0584686308877357,0.558282371246225,0.0318631346842672,0.06601286325561,0.629322472929378,0.15641273570436,0.0751638296016297,431,""
"panel_b","f","FULL","drop_row_previous_scrape","drop row source=previous scrape",1137,"twomse_fe",0.02761491291658,0.0349931231294848,0.43002284172037,0.0268758337203458,0.0466995770455038,0.564949902267763,0.312825471408719,0.150327659203259,609,""
"panel_b","f","FULL","drop_row_previous_scrape","drop row source=previous scrape",1137,"h020_010_fe",0.0226209841918957,0.0499139340601654,0.65040488715792,0.0435982136724556,0.0641014590643513,0.496413376507723,0.2,0.1,482,""
"panel_b","f","FULL","drop_row_previous_scrape","drop row source=previous scrape",1137,"h030_015_fe",0.0281658537127437,0.0355513201938898,0.428209667499679,0.028663620969269,0.047257709524057,0.544157214637133,0.3,0.15,603,""
"panel_b","f","FULL","drop_row_previous_scrape","drop row source=previous scrape",1137,"h040_020_fe",0.0197230416819163,0.0297510591039989,0.507371682650031,0.0409354611346596,0.0401509276119795,0.307946857710216,0.4,0.2,653,""
"panel_b","f","FULL","drop_row_previous_scrape","drop row source=previous scrape",1137,"msetwo_no_fe",-0.0264907710443583,0.0514312749224502,0.606503232331313,-0.03692107295926,0.0596652744962375,0.536045901554752,0.193908340260043,0.0749757193206606,452,""
"panel_b","f","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",1128,"msetwo_fe",0.0364852269171219,0.0589900390692793,0.536247051722061,0.0348187202278199,0.0666825361402442,0.601561364782109,0.156304770853513,0.0751423615637722,429,""
"panel_b","f","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",1128,"twomse_fe",0.0272973681224187,0.0350322258467447,0.435857576845728,0.028844083537951,0.0467408063844377,0.537164085072498,0.312609541707025,0.150284723127544,604,""
"panel_b","f","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",1128,"h020_010_fe",0.0234814421456007,0.0502170500054973,0.640071383310326,0.0463386606604664,0.0644671439576326,0.472267239625299,0.2,0.1,478,""
"panel_b","f","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",1128,"h030_015_fe",0.0278592669866514,0.0355821678252922,0.433653029991594,0.0306561321580477,0.0472906500605308,0.516823701534953,0.3,0.15,598,""
"panel_b","f","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",1128,"h040_020_fe",0.0188267181719076,0.0297215636234871,0.526448747053289,0.0417328621784405,0.0401083664026484,0.298106426004043,0.4,0.2,648,""
"panel_b","f","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",1128,"msetwo_no_fe",-0.0256781835551301,0.0518555557052458,0.620468310102979,-0.0352802566472489,0.0601246258813962,0.557347798848861,0.19280784970951,0.0769189342455024,451,""
"panel_b","f","Q1Q2","baseline","baseline",588,"msetwo_fe",-0.0422521823672961,0.0619354481998198,0.49511433615896,-0.0478997772872395,0.0719869996915035,0.505797992027564,0.184615520657247,0.0856853381963772,239,""
"panel_b","f","Q1Q2","baseline","baseline",588,"twomse_fe",-0.0272855768211169,0.0381930613405141,0.474972526969061,-0.0418665049451147,0.0533591697380157,0.432678233752347,0.369231041314494,0.171370676392754,331,""
"panel_b","f","Q1Q2","baseline","baseline",588,"h020_010_fe",-0.0380537295491841,0.0590929962358586,0.519599137331135,-0.0295954033808879,0.0838049961580017,0.723978951017277,0.2,0.1,244,""
"panel_b","f","Q1Q2","baseline","baseline",588,"h030_015_fe",-0.0305658704907458,0.0418472384076993,0.465136262434178,-0.0416289451027477,0.0584396403012342,0.47625371210054,0.3,0.15,316,""
"panel_b","f","Q1Q2","baseline","baseline",588,"h040_020_fe",-0.0280460161611308,0.0359593958436785,0.435428730422665,-0.0323535122745306,0.0502123012085282,0.519358622276792,0.4,0.2,344,""
"panel_b","f","Q1Q2","baseline","baseline",588,"msetwo_no_fe",-0.0795751200416026,0.061692985000265,0.19710036083497,-0.106495774955817,0.0712611637226942,0.135059768269068,0.189942365853332,0.089217153258743,240,""
