"cutoff","distance","side","conv","conv_ci_low","conv_ci_high","h_left","h_right","n_left","n_right","error"
4.847,0.097,1,0.0859144073997926,0.0163056680914663,0.155523146708119,0.0232695877533346,0.0528327032467814,229,705,NA
4.848,0.098,1,0.0972126448943331,0.0330037311146752,0.161421558673991,0.0234548209772989,0.0458035360838718,238,641,NA
4.849,0.099,1,-0.00598453678492048,-0.0701342331792555,0.0581651596094146,0.0302913441554661,0.0409249782042281,303,586,NA
4.85,0.1,1,-0.00432991283943743,-0.0670294101359103,0.0583695844570355,0.0290768087974538,0.0431750622321511,305,611,NA
4.851,0.101,1,-0.0872729710619612,-0.156710815189005,-0.0178351269349171,0.0237570482285985,0.0242558395954359,268,382,NA
4.852,0.102,1,-0.079750177401091,-0.142799012513144,-0.0167013422890382,0.0244695067106411,0.0249657314793645,285,389,NA
4.853,0.103,1,-0.15084263535021,-0.228878512285128,-0.0728067584152912,0.0200312917639113,0.0194258239749177,274,270,NA
4.854,0.104,1,0.0645155788913503,0.00726627213463495,0.121764885648066,0.0236509803139826,0.0395829104351538,290,536,NA
4.855,0.105,1,0.0532090694831085,-0.00240659496440452,0.108824733930622,0.02742331170525,0.041307711931458,326,559,NA
4.856,0.106,1,0.0467483379985695,-0.00860222060301624,0.102098896600155,0.0296214419204945,0.0440736708601287,333,628,NA
4.857,0.107,1,0.0446118660970229,-0.00850387807286691,0.0977276102669127,0.0358586805475918,0.0456027114309195,390,640,NA
4.858,0.108,1,0.0779794663949183,0.032468948937265,0.123489983852572,0.0509947317867706,0.0227799762302989,565,307,NA
4.859,0.109,1,0.0880270027712502,0.041587702672949,0.134466302869551,0.0471184753152246,0.0211341675392678,535,290,NA
4.86,0.11,1,0.0789372609982428,0.0335055832063355,0.12436893879015,0.0487801490776103,0.0223924514019225,540,316,NA
4.861,0.111,1,-6.77013613980242e-05,-0.0476345941302931,0.047499191407497,0.0196617716141985,0.0291359777764732,265,396,NA
4.862,0.112,1,-0.00477143395110991,-0.0537631955403861,0.0442203276381663,0.0192760380372558,0.028566695805157,267,390,NA
4.863,0.113,1,-0.00340942255436731,-0.0515101439027927,0.044691298794058,0.0202583051798673,0.0282216203925055,286,373,NA
4.864,0.114,1,0.0287674299443233,-0.0241862676496774,0.081721127538324,0.0232498679896594,0.0221700902195589,306,285,NA
4.865,0.115,1,0.0187383129586457,-0.0329507721599185,0.0704273980772098,0.0223721850955737,0.0235528725026113,301,301,NA
4.866,0.116,1,0.00613919636622995,-0.0466482429915583,0.0589266357240183,0.0219618447303645,0.0244604887031377,303,352,NA
4.867,0.117,1,0.00376953071951389,-0.0451323022848109,0.0526713637238387,0.025503586279042,0.0234039137405016,347,316,NA
4.868,0.118,1,-0.0125782393940162,-0.0603326597546311,0.0351761809665986,0.0248808125512761,0.0253122132746976,346,340,NA
