"cutoff","distance","side","conv","conv_ci_low","conv_ci_high","h_left","h_right","n_left","n_right","error"
4.866,0.116,1,0.00974857762791345,-0.0830909898944668,0.102588145150294,0.0461227960629582,0.0349909307329181,93,57,NA
4.867,0.117,1,-0.00628161199940946,-0.136730617841406,0.124167393842587,0.0496623851323194,0.0272819865834375,111,41,NA
4.868,0.118,1,-0.0125692424240669,-0.13556676109684,0.110428276248706,0.0486447854534065,0.0278120058549284,98,42,NA
4.869,0.119,1,-0.0198448847639493,-0.136205337687272,0.0965155681593731,0.0475639690256235,0.0288370648580401,96,44,NA
4.87,0.12,1,-0.0242849604971227,-0.1340619862922,0.0854920652979549,0.0464525275564893,0.0297714134524491,90,45,NA
4.871,0.121,1,-0.0251114072433989,-0.125328921784445,0.075106107297647,0.0449943974323052,0.0307939037349617,89,52,NA
4.872,0.122,1,-0.018479368682431,-0.110130954479465,0.0731722171146029,0.0426154480872044,0.0320871492545921,85,56,NA
4.873,0.123,1,-0.0124144095724894,-0.0981111369058864,0.0732823177609075,0.0415142325929813,0.0333927787599566,85,60,NA
4.874,0.124,1,0.00283498003170764,-0.0822749637278521,0.0879449237912674,0.0407957763916908,0.0349453585005242,85,60,NA
4.875,0.125,1,0.00538521487253932,-0.0806274496736061,0.0913978794186847,0.0391197294463752,0.0364549508425802,55,74,NA
4.876,0.126,1,0.112515675844751,-0.0625840355058149,0.287615387195318,0.0358752895913956,0.020279374945633,58,31,NA
4.877,0.127,1,0.0741319000882185,-0.0840677740810635,0.232331574257501,0.0339788025237827,0.0211384575254488,58,34,NA
4.878,0.128,1,0.046601453844534,-0.0945048918852663,0.187707799574334,0.0324185816753365,0.0221975609702573,58,41,NA
4.879,0.129,1,0.0323760442281112,-0.0888959748475303,0.153648063303753,0.029875031905219,0.0238616507611337,47,44,NA
4.88,0.13,1,0.0311615475363771,-0.083493987985708,0.145817083058462,0.029063823475599,0.0257961556558232,41,47,NA
4.881,0.131,1,-0.0518999857022029,-0.150482100167294,0.0466821287628883,0.0420136397591646,0.0332068072986885,64,61,NA
4.882,0.132,1,-0.0552136232602504,-0.151873705470461,0.0414464589499607,0.0420049858279062,0.0344118016983994,65,61,NA
4.883,0.133,1,-0.0837995807175752,-0.171917751415913,0.00431858998076225,0.0432223609668529,0.0421200805572574,68,67,NA
4.884,0.134,1,-0.0376957184967722,-0.149917833151425,0.0745263961578804,0.0345199251533329,0.04146620763762,56,66,NA
4.885,0.135,1,-0.0459835337063787,-0.151059803048682,0.0590927356359244,0.0312285111216652,0.0449699580347706,49,67,NA
4.886,0.136,1,-0.0365222355966014,-0.13235511337325,0.0593106421800471,0.0334683796600342,0.0446296346140328,54,64,NA
4.887,0.137,1,-0.0369503092947069,-0.132001891253372,0.0581012726639581,0.0339735550479805,0.046026443592636,53,64,NA
4.888,0.138,1,0.0588182902109607,-0.0435577409232681,0.16119432134519,0.0297918024253156,0.0406533918075859,36,62,NA
4.889,0.139,1,0.118204800178174,-0.0730588228882328,0.309468423244581,0.0432547444219984,0.0226598378097466,86,35,NA
4.89,0.14,1,0.107521843812425,-0.064579175986093,0.279622863610944,0.0420608878809805,0.0232528694349622,75,37,NA
4.891,0.141,1,0.104098807701371,-0.143755551640266,0.351953167043008,0.0428576841148304,0.0201922166338069,76,34,NA
4.892,0.142,1,0.0914262278912483,-0.116153666185843,0.299006121968339,0.0417280492785679,0.0212018968505105,70,36,NA
4.893,0.143,1,0.203777690780586,0.0130391167025349,0.394516264858637,0.0358048455474336,0.0178539285729132,51,32,NA
