"cutoff","distance","side","conv","conv_ci_low","conv_ci_high","bc","bc_ci_low","bc_ci_high","h_left","h_right","n_left","n_right","error"
4.844,0.094,1,0.0100715022064024,-0.0582212323372041,0.0783642367500089,0.00680579407443156,-0.061486940469175,0.0750985286180381,0.0218864816690482,0.033269254629361,219,501,NA
4.845,0.095,1,0.0326539525939864,-0.0252114410426943,0.0905193462306672,0.0340016941500414,-0.0238636994866393,0.0918670877867221,0.0229375873704987,0.0381761893861068,226,547,NA
4.846,0.096,1,0.0418559136226856,-0.01840678917482,0.102118616420191,0.0454362950607256,-0.0148264077367801,0.105698997858231,0.0216262583956555,0.0397667816718793,200,575,NA
4.847,0.097,1,0.0859144073997926,0.0163056680914663,0.155523146708119,0.0962175874828686,0.0266088481745424,0.165826326791195,0.0232695877533346,0.0528327032467814,229,705,NA
4.848,0.098,1,0.0972126448943331,0.0330037311146752,0.161421558673991,0.10841588280199,0.044206969022332,0.172624796581648,0.0234548209772989,0.0458035360838718,238,641,NA
4.849,0.099,1,-0.00598453678492048,-0.0701342331792555,0.0581651596094146,-0.0129988962326789,-0.0771485926270139,0.0511508001616561,0.0302913441554661,0.0409249782042281,303,586,NA
4.85,0.1,1,-0.00432991283943743,-0.0670294101359103,0.0583695844570355,-0.0104494244205734,-0.0731489217170463,0.0522500728758995,0.0290768087974538,0.0431750622321511,305,611,NA
4.851,0.101,1,-0.0872729710619612,-0.156710815189005,-0.0178351269349171,-0.108637790962224,-0.178075635089268,-0.0391999468351794,0.0237570482285985,0.0242558395954359,268,382,NA
4.852,0.102,1,-0.079750177401091,-0.142799012513144,-0.0167013422890382,-0.100323105438796,-0.163371940550849,-0.037274270326743,0.0244695067106411,0.0249657314793645,285,389,NA
4.853,0.103,1,-0.15084263535021,-0.228878512285128,-0.0728067584152912,-0.173740359656602,-0.25177623659152,-0.0957044827216829,0.0200312917639113,0.0194258239749177,274,270,NA
4.854,0.104,1,0.0645155788913503,0.00726627213463495,0.121764885648066,0.0769300739170791,0.0196807671603637,0.134179380673794,0.0236509803139826,0.0395829104351538,290,536,NA
4.855,0.105,1,0.0532090694831085,-0.00240659496440452,0.108824733930622,0.0655458357276014,0.00993017128008836,0.121161500175114,0.02742331170525,0.041307711931458,326,559,NA
4.856,0.106,1,0.0467483379985695,-0.00860222060301624,0.102098896600155,0.0597653783812031,0.00441481977961735,0.115115936982789,0.0296214419204945,0.0440736708601287,333,628,NA
4.857,0.107,1,0.0446118660970229,-0.00850387807286691,0.0977276102669127,0.0564517675335238,0.00333602336363396,0.109567511703414,0.0358586805475918,0.0456027114309195,390,640,NA
4.858,0.108,1,0.0779794663949183,0.032468948937265,0.123489983852572,0.0900522458903022,0.0445417284326488,0.135562763347956,0.0509947317867706,0.0227799762302989,565,307,NA
